timestamp_utc,Open,High,Low,Close,Volume,ticker
2025-10-10 03:45:00,1372.300048828125,1381.4000244140625,1371.0999755859375,1378.300048828125,0,ICICIBANK.NS
2025-10-10 04:45:00,1378.0,1385.0,1377.699951171875,1384.0,1013482,ICICIBANK.NS
2025-10-10 05:45:00,1384.0999755859375,1384.800048828125,1379.5,1379.699951171875,998162,ICICIBANK.NS
2025-10-10 06:45:00,1379.800048828125,1383.0,1379.300048828125,1381.199951171875,824022,ICICIBANK.NS
2025-10-10 07:45:00,1381.5,1384.800048828125,1380.699951171875,1382.800048828125,1066178,ICICIBANK.NS
2025-10-10 08:45:00,1382.5,1384.0,1378.9000244140625,1380.9000244140625,1087803,ICICIBANK.NS
2025-10-10 09:45:00,1380.800048828125,1381.5,1379.0,1380.4000244140625,797652,ICICIBANK.NS
2025-10-13 03:45:00,1376.699951171875,1386.199951171875,1375.0999755859375,1379.0,0,ICICIBANK.NS
2025-10-13 04:45:00,1379.0,1383.0999755859375,1378.0,1380.199951171875,539465,ICICIBANK.NS
2025-10-13 05:45:00,1379.9000244140625,1381.4000244140625,1377.0999755859375,1379.5,1332667,ICICIBANK.NS
2025-10-13 06:45:00,1379.300048828125,1380.800048828125,1376.699951171875,1379.5,1729637,ICICIBANK.NS
2025-10-13 07:45:00,1379.699951171875,1379.9000244140625,1375.300048828125,1377.800048828125,1683191,ICICIBANK.NS
2025-10-13 08:45:00,1378.199951171875,1382.199951171875,1376.800048828125,1379.699951171875,2446983,ICICIBANK.NS
2025-10-13 09:45:00,1379.4000244140625,1381.0999755859375,1379.0999755859375,1381.0999755859375,460627,ICICIBANK.NS
2025-10-14 03:45:00,1384.0,1387.5,1378.300048828125,1379.199951171875,0,ICICIBANK.NS
2025-10-14 04:45:00,1379.0999755859375,1383.300048828125,1376.5,1377.0999755859375,1243073,ICICIBANK.NS
2025-10-14 05:45:00,1377.199951171875,1378.9000244140625,1375.0999755859375,1376.5,1275083,ICICIBANK.NS
2025-10-14 06:45:00,1376.5,1380.0,1375.5,1378.0,1524835,ICICIBANK.NS
2025-10-14 07:45:00,1377.5,1384.0999755859375,1377.199951171875,1384.0999755859375,1643541,ICICIBANK.NS
2025-10-14 08:45:00,1384.300048828125,1386.0,1381.699951171875,1384.9000244140625,3071572,ICICIBANK.NS
2025-10-14 09:45:00,1384.699951171875,1385.800048828125,1382.199951171875,1384.0999755859375,822454,ICICIBANK.NS
2025-10-15 03:45:00,1386.5999755859375,1391.699951171875,1385.5,1389.800048828125,0,ICICIBANK.NS
2025-10-15 04:45:00,1389.800048828125,1394.5,1389.0999755859375,1391.0999755859375,965835,ICICIBANK.NS
2025-10-15 05:45:00,1391.199951171875,1392.9000244140625,1388.800048828125,1389.300048828125,719218,ICICIBANK.NS
2025-10-15 06:45:00,1389.699951171875,1397.4000244140625,1388.5999755859375,1396.0999755859375,1361470,ICICIBANK.NS
2025-10-15 07:45:00,1396.0999755859375,1400.0,1396.0999755859375,1398.5999755859375,1226396,ICICIBANK.NS
2025-10-15 08:45:00,1398.5999755859375,1399.699951171875,1394.800048828125,1398.699951171875,2382906,ICICIBANK.NS
2025-10-15 09:45:00,1398.800048828125,1400.300048828125,1397.199951171875,1398.4000244140625,1045775,ICICIBANK.NS
2025-10-16 03:45:00,1406.699951171875,1410.0,1399.5,1402.5999755859375,0,ICICIBANK.NS
2025-10-16 04:45:00,1402.5,1407.800048828125,1402.5,1405.199951171875,752345,ICICIBANK.NS
2025-10-16 05:45:00,1405.0,1408.9000244140625,1404.699951171875,1408.5,618033,ICICIBANK.NS
2025-10-16 06:45:00,1408.800048828125,1415.699951171875,1408.800048828125,1415.5999755859375,1714911,ICICIBANK.NS
2025-10-16 07:45:00,1415.5999755859375,1417.800048828125,1413.5,1415.800048828125,2158151,ICICIBANK.NS
2025-10-16 08:45:00,1415.800048828125,1418.9000244140625,1415.4000244140625,1417.300048828125,3779120,ICICIBANK.NS
2025-10-16 09:45:00,1416.800048828125,1418.4000244140625,1416.800048828125,1417.300048828125,1070764,ICICIBANK.NS
2025-10-17 03:45:00,1413.0,1424.9000244140625,1412.5,1424.0999755859375,0,ICICIBANK.NS
2025-10-17 04:45:00,1424.300048828125,1430.0,1423.9000244140625,1427.4000244140625,1547662,ICICIBANK.NS
2025-10-17 05:45:00,1427.4000244140625,1431.0,1426.0999755859375,1430.4000244140625,2453886,ICICIBANK.NS
2025-10-17 06:45:00,1430.199951171875,1430.800048828125,1422.199951171875,1424.300048828125,3002154,ICICIBANK.NS
2025-10-17 07:45:00,1424.5999755859375,1427.4000244140625,1420.0999755859375,1424.5,2774650,ICICIBANK.NS
2025-10-17 08:45:00,1424.5,1439.5999755859375,1422.199951171875,1436.4000244140625,4166968,ICICIBANK.NS
2025-10-17 09:45:00,1436.4000244140625,1438.800048828125,1435.0,1437.0999755859375,801298,ICICIBANK.NS
2025-10-20 03:45:00,1434.800048828125,1434.800048828125,1400.0,1407.4000244140625,0,ICICIBANK.NS
2025-10-20 04:45:00,1407.199951171875,1409.800048828125,1401.199951171875,1401.800048828125,2383273,ICICIBANK.NS
2025-10-20 05:45:00,1401.800048828125,1404.4000244140625,1401.300048828125,1404.0,1485106,ICICIBANK.NS
2025-10-20 06:45:00,1404.0,1405.0,1398.699951171875,1400.0,2961843,ICICIBANK.NS
2025-10-20 07:45:00,1400.0999755859375,1402.4000244140625,1399.0999755859375,1400.9000244140625,1534970,ICICIBANK.NS
2025-10-20 08:45:00,1400.9000244140625,1401.5,1389.300048828125,1390.0,6345103,ICICIBANK.NS
2025-10-20 09:45:00,1390.0,1393.0,1389.199951171875,1393.0,1838756,ICICIBANK.NS
2025-10-21 07:45:00,1384.5,1387.5999755859375,1376.9000244140625,1386.0,2127822,ICICIBANK.NS
2025-10-21 08:45:00,1385.9000244140625,1385.9000244140625,1379.800048828125,1382.0,1089950,ICICIBANK.NS
2025-10-23 03:45:00,1386.300048828125,1389.800048828125,1383.5,1387.0999755859375,1101933,ICICIBANK.NS
