timestamp_utc,Close,index_name,ticker
2025-10-10 03:45:00,25262.44921875,nifty50,^NSEI
2025-10-10 04:45:00,25309.94921875,nifty50,^NSEI
2025-10-10 05:45:00,25286.30078125,nifty50,^NSEI
2025-10-10 06:45:00,25306.19921875,nifty50,^NSEI
2025-10-10 07:45:00,25305.80078125,nifty50,^NSEI
2025-10-10 08:45:00,25284.19921875,nifty50,^NSEI
2025-10-10 09:45:00,25278.19921875,nifty50,^NSEI
2025-10-13 03:45:00,25199.25,nifty50,^NSEI
2025-10-13 04:45:00,25191.400390625,nifty50,^NSEI
2025-10-13 05:45:00,25189.650390625,nifty50,^NSEI
2025-10-13 06:45:00,25210.0,nifty50,^NSEI
2025-10-13 07:45:00,25207.5,nifty50,^NSEI
2025-10-13 08:45:00,25220.44921875,nifty50,^NSEI
2025-10-13 09:45:00,25237.150390625,nifty50,^NSEI
2025-10-14 03:45:00,25196.69921875,nifty50,^NSEI
2025-10-14 04:45:00,25174.0,nifty50,^NSEI
2025-10-14 05:45:00,25118.349609375,nifty50,^NSEI
2025-10-14 06:45:00,25084.05078125,nifty50,^NSEI
2025-10-14 07:45:00,25122.75,nifty50,^NSEI
2025-10-14 08:45:00,25144.80078125,nifty50,^NSEI
2025-10-14 09:45:00,25123.349609375,nifty50,^NSEI
2025-10-15 03:45:00,25251.25,nifty50,^NSEI
2025-10-15 04:45:00,25292.599609375,nifty50,^NSEI
2025-10-15 05:45:00,25288.25,nifty50,^NSEI
2025-10-15 06:45:00,25325.5,nifty50,^NSEI
2025-10-15 07:45:00,25326.900390625,nifty50,^NSEI
2025-10-15 08:45:00,25327.94921875,nifty50,^NSEI
2025-10-15 09:45:00,25327.75,nifty50,^NSEI
2025-10-16 03:45:00,25423.44921875,nifty50,^NSEI
2025-10-16 04:45:00,25462.25,nifty50,^NSEI
2025-10-16 05:45:00,25477.0,nifty50,^NSEI
2025-10-16 06:45:00,25524.0,nifty50,^NSEI
2025-10-16 07:45:00,25551.849609375,nifty50,^NSEI
2025-10-16 08:45:00,25568.55078125,nifty50,^NSEI
2025-10-16 09:45:00,25566.30078125,nifty50,^NSEI
2025-10-17 03:45:00,25670.150390625,nifty50,^NSEI
2025-10-17 04:45:00,25750.650390625,nifty50,^NSEI
2025-10-17 05:45:00,25760.599609375,nifty50,^NSEI
2025-10-17 06:45:00,25668.75,nifty50,^NSEI
2025-10-17 07:45:00,25682.099609375,nifty50,^NSEI
2025-10-17 08:45:00,25708.349609375,nifty50,^NSEI
2025-10-17 09:45:00,25704.69921875,nifty50,^NSEI
2025-10-20 03:45:00,25856.55078125,nifty50,^NSEI
2025-10-20 04:45:00,25873.80078125,nifty50,^NSEI
2025-10-20 05:45:00,25855.25,nifty50,^NSEI
2025-10-20 06:45:00,25898.400390625,nifty50,^NSEI
2025-10-20 07:45:00,25861.05078125,nifty50,^NSEI
2025-10-20 08:45:00,25846.30078125,nifty50,^NSEI
2025-10-20 09:45:00,25850.69921875,nifty50,^NSEI
2025-10-21 07:45:00,25896.900390625,nifty50,^NSEI
2025-10-21 08:45:00,25868.599609375,nifty50,^NSEI
2025-10-23 03:45:00,26095.900390625,nifty50,^NSEI
2025-10-23 04:45:00,26058.0,nifty50,^NSEI
2025-10-23 05:45:00,26077.099609375,nifty50,^NSEI
2025-10-23 06:45:00,26059.599609375,nifty50,^NSEI
2025-10-23 07:45:00,25958.55078125,nifty50,^NSEI
2025-10-23 08:45:00,25865.349609375,nifty50,^NSEI
2025-10-23 09:45:00,25870.30078125,nifty50,^NSEI
2025-10-24 03:45:00,25876.19921875,nifty50,^NSEI
2025-10-24 04:45:00,25827.30078125,nifty50,^NSEI
2025-10-24 05:45:00,25850.44921875,nifty50,^NSEI
2025-10-24 06:45:00,25825.94921875,nifty50,^NSEI
2025-10-24 07:45:00,25755.400390625,nifty50,^NSEI
2025-10-24 08:45:00,25799.5,nifty50,^NSEI
2025-10-24 09:45:00,25797.44921875,nifty50,^NSEI
2025-10-27 03:45:00,25961.849609375,nifty50,^NSEI
2025-10-27 04:45:00,25976.30078125,nifty50,^NSEI
2025-10-27 05:45:00,25996.25,nifty50,^NSEI
2025-10-27 06:45:00,25970.599609375,nifty50,^NSEI
2025-10-27 07:45:00,25938.5,nifty50,^NSEI
2025-10-27 08:45:00,25963.80078125,nifty50,^NSEI
2025-10-27 09:45:00,25974.0,nifty50,^NSEI
2025-10-28 03:45:00,25905.25,nifty50,^NSEI
2025-10-28 04:45:00,25852.30078125,nifty50,^NSEI
2025-10-28 05:45:00,25843.650390625,nifty50,^NSEI
2025-10-28 06:45:00,25926.349609375,nifty50,^NSEI
2025-10-28 07:45:00,25873.69921875,nifty50,^NSEI
2025-10-28 08:45:00,25943.0,nifty50,^NSEI
2025-10-28 09:45:00,25965.400390625,nifty50,^NSEI
2025-10-29 03:45:00,25997.69921875,nifty50,^NSEI
2025-10-29 04:45:00,26022.44921875,nifty50,^NSEI
2025-10-29 05:45:00,26054.75,nifty50,^NSEI
2025-10-29 06:45:00,26080.25,nifty50,^NSEI
2025-10-29 07:45:00,26052.849609375,nifty50,^NSEI
2025-10-29 08:45:00,26043.55078125,nifty50,^NSEI
2025-10-29 09:45:00,26068.30078125,nifty50,^NSEI
2025-10-30 03:45:00,25959.44921875,nifty50,^NSEI
2025-10-30 04:45:00,25956.099609375,nifty50,^NSEI
